timestamp,function,duration_seconds,memory_kb,cpu_time_seconds
2025-07-10 14:59:00,get_peers,0.4023,0.51,0.0035
2025-07-10 14:59:05,get_peers,0.4078,0.48,0.0043
2025-07-10 14:59:09,checkValidator,0.4000,0.51,0.0020
2025-07-10 14:59:10,get_all_validators,0.3704,0.62,0.0010
2025-07-10 14:59:11,get_peers,0.4079,0.46,0.0044
2025-07-10 14:59:16,get_peers,0.4098,0.51,0.0027
2025-07-10 14:59:20,checkValidator,0.4074,0.51,0.0018
2025-07-10 14:59:21,get_all_validators,0.3718,0.65,0.0010
2025-07-10 14:59:21,get_peers,0.3969,0.51,0.0026
2025-07-10 14:59:27,get_peers,0.5437,0.51,0.0028
2025-07-10 14:59:31,checkValidator,0.4434,0.51,0.0010
2025-07-10 14:59:32,get_all_validators,0.3604,36.06,0.0020
2025-07-10 14:59:32,get_peers,0.3602,0.00,0.0015
2025-07-10 14:59:38,get_peers,0.4047,0.48,0.0043
2025-07-10 14:59:42,checkValidator,0.3681,0.51,0.0011
2025-07-10 14:59:43,get_peers,0.3935,36.22,0.0022
2025-07-10 14:59:43,get_all_validators,0.3980,0.00,0.0014
2025-07-10 14:59:49,get_peers,0.4105,0.51,0.0043
2025-07-10 14:59:54,checkValidator,0.3913,35.93,0.0020
2025-07-10 14:59:54,get_peers,0.3917,0.00,0.0019
2025-07-10 14:59:54,get_all_validators,0.3959,0.65,0.0011
2025-07-10 14:59:59,get_peers,0.4182,0.51,0.0030
2025-07-10 15:00:05,get_peers,0.3856,38.01,0.0024
2025-07-10 15:00:05,checkValidator,0.3878,0.00,0.0014
2025-07-10 15:00:06,get_all_validators,0.3665,0.65,0.0010
2025-07-10 15:00:10,get_peers,0.3947,0.46,0.0033
2025-07-10 15:00:16,get_peers,0.7671,37.98,0.0023
2025-07-10 15:00:16,checkValidator,0.6522,0.00,0.0016
2025-07-10 15:00:17,get_all_validators,0.3995,0.65,0.0010
2025-07-10 15:00:21,get_peers,0.4098,0.48,0.0012
2025-07-10 15:00:27,get_peers,0.3882,0.51,0.0012
2025-07-10 15:00:27,checkValidator,0.4052,37.98,0.0021
2025-07-10 15:00:27,checkValidator,0.4098,35.45,0.0023
2025-07-10 15:00:28,get_all_validators,0.3887,0.65,0.0011
2025-07-10 15:00:31,emitValidatorProposalToChain,3.6581,0.00,0.0038
2025-07-10 15:00:31,get_all_validators,0.3742,0.65,0.0010
2025-07-10 15:00:32,get_all_validators,0.3712,0.65,0.0011
2025-07-10 15:00:37,get_all_validators,0.4197,0.65,0.0038
2025-07-10 15:00:39,checkValidator,0.3999,0.51,0.0010
2025-07-10 15:00:40,get_all_validators,0.5986,0.65,0.0010
2025-07-10 15:00:40,proposeValidator,0.4618,0.61,0.0010
2025-07-10 15:00:42,get_all_validators,0.4360,0.62,0.0035
